# t [orb]   torque   torque_smoothing   torque_M2
0.00000e+00   -3.76930e-22   3.83106e-09   -7.45445e-18
8.32860e-03   -3.26575e-10   4.21935e-09   9.31925e-09
1.63239e-02   -2.37491e-09   1.29314e-09   7.89354e-08
2.43192e-02   -7.54892e-09   -7.42762e-09   2.58701e-07
3.23145e-02   -1.69591e-08   -1.33299e-08   5.55743e-07
4.03098e-02   -3.14126e-08   -2.19909e-08   1.00149e-06
4.83051e-02   -5.14280e-08   -3.49587e-08   1.63046e-06
5.63004e-02   -7.72621e-08   -5.02792e-08   2.48346e-06
6.42957e-02   -1.08943e-07   -6.58948e-08   3.60875e-06
7.22910e-02   -1.46314e-07   -8.17113e-08   5.06356e-06
8.02863e-02   -1.89069e-07   -1.06441e-07   6.92118e-06
8.82816e-02   -2.36792e-07   -1.17218e-07   9.26929e-06
9.62769e-02   -2.88991e-07   -1.45233e-07   1.22082e-05
1.04272e-01   -3.45124e-07   -1.49959e-07   1.58452e-05
1.12267e-01   -4.04626e-07   -1.75530e-07   2.04133e-05
1.20263e-01   -4.66935e-07   -1.67277e-07   2.60332e-05
1.28258e-01   -5.31499e-07   -1.93453e-07   3.28036e-05
1.36253e-01   -5.97796e-07   -2.08336e-07   4.08461e-05
1.44249e-01   -6.65333e-07   -2.23369e-07   5.02993e-05
1.52244e-01   -7.33661e-07   -2.30449e-07   6.13047e-05
1.60239e-01   -8.02374e-07   -2.43410e-07   7.40061e-05
1.68235e-01   -8.71115e-07   -2.48133e-07   8.85468e-05
1.76230e-01   -9.39563e-07   -2.53991e-07   1.05062e-04
1.84225e-01   -1.00745e-06   -2.44845e-07   1.23674e-04
1.92220e-01   -1.07453e-06   -2.09001e-07   1.44478e-04
2.00216e-01   -1.14061e-06   -2.48373e-07   1.67555e-04
2.08211e-01   -1.20553e-06   -2.28203e-07   1.92949e-04
2.16206e-01   -1.26915e-06   -2.69210e-07   2.20668e-04
2.24202e-01   -1.33136e-06   -2.13169e-07   2.50656e-04
2.32197e-01   -1.39208e-06   -2.40227e-07   2.82833e-04
2.40192e-01   -1.45123e-06   -2.19338e-07   3.17063e-04
2.48188e-01   -1.50877e-06   -2.45006e-07   3.53130e-04
2.56183e-01   -1.56467e-06   -2.25047e-07   3.90697e-04
2.64178e-01   -1.61889e-06   -2.42841e-07   4.29319e-04
2.72174e-01   -1.67143e-06   -2.33280e-07   4.68499e-04
2.80169e-01   -1.72229e-06   -2.13969e-07   5.07676e-04
2.88164e-01   -1.77147e-06   -2.33746e-07   5.46242e-04
2.96159e-01   -1.81897e-06   -2.10667e-07   5.83533e-04
3.04155e-01   -1.86482e-06   -2.33912e-07   6.18830e-04
3.12150e-01   -1.90901e-06   -1.99832e-07   6.51546e-04
3.20145e-01   -1.95158e-06   -2.36578e-07   6.81193e-04
3.28140e-01   -1.99255e-06   -2.05029e-07   7.07269e-04
3.36134e-01   -2.03192e-06   -2.20179e-07   7.29172e-04
3.44126e-01   -2.06971e-06   -2.25426e-07   7.46316e-04
3.52116e-01   -2.10594e-06   -1.92259e-07   7.58167e-04
3.60105e-01   -2.14065e-06   -1.92847e-07   7.64183e-04
3.68091e-01   -2.17385e-06   -2.05047e-07   7.63830e-04
3.76076e-01   -2.20554e-06   -1.99351e-07   7.56593e-04
3.84059e-01   -2.23576e-06   -1.98771e-07   7.41995e-04
3.92039e-01   -2.26453e-06   -2.09056e-07   7.19605e-04
4.00018e-01   -2.29186e-06   -1.68197e-07   6.89044e-04
4.08327e-01   -2.31882e-06   -1.62943e-07   6.48206e-04
4.16301e-01   -2.34326e-06   -2.22279e-07   6.00035e-04
4.24273e-01   -2.36632e-06   -2.23760e-07   5.42973e-04
4.32243e-01   -2.38802e-06   -1.94061e-07   4.76968e-04
4.40210e-01   -2.40835e-06   -1.80915e-07   4.02065e-04
4.48174e-01   -2.42736e-06   -1.79235e-07   3.18443e-04
4.56137e-01   -2.44504e-06   -1.60851e-07   2.26415e-04
4.64096e-01   -2.46142e-06   -1.82096e-07   1.26420e-04
4.72053e-01   -2.47651e-06   -1.78047e-07   1.90129e-05
4.80007e-01   -2.49033e-06   -1.84776e-07   -9.51233e-05
4.88289e-01   -2.50340e-06   -1.81355e-07   -2.20267e-04
4.96238e-01   -2.51468e-06   -1.90495e-07   -3.45405e-04
5.04183e-01   -2.52476e-06   -1.73945e-07   -4.74364e-04
5.12125e-01   -2.53364e-06   -1.55684e-07   -6.06001e-04
5.20063e-01   -2.54135e-06   -1.82670e-07   -7.39080e-04
5.28329e-01   -2.54816e-06   -1.88680e-07   -8.77828e-04
5.36261e-01   -2.55355e-06   -1.82393e-07   -1.00975e-03
5.44189e-01   -2.55784e-06   -1.57091e-07   -1.13905e-03
5.52114e-01   -2.56105e-06   -1.54662e-07   -1.26435e-03
5.60035e-01   -2.56321e-06   -1.61823e-07   -1.38420e-03
5.68282e-01   -2.56437e-06   -1.56007e-07   -1.50191e-03
5.76195e-01   -2.56448e-06   -1.73741e-07   -1.60684e-03
5.84104e-01   -2.56361e-06   -1.33104e-07   -1.70286e-03
5.92009e-01   -2.56181e-06   -1.81790e-07   -1.78910e-03
6.00239e-01   -2.55896e-06   -1.51585e-07   -1.86775e-03
6.08136e-01   -2.55534e-06   -1.78233e-07   -1.93199e-03
6.16029e-01   -2.55086e-06   -1.42807e-07   -1.98489e-03
6.24245e-01   -2.54534e-06   -1.55833e-07   -2.02783e-03
6.32129e-01   -2.53924e-06   -1.65278e-07   -2.05747e-03
6.40009e-01   -2.53238e-06   -1.73712e-07   -2.07597e-03
6.48212e-01   -2.52449e-06   -1.40383e-07   -2.08389e-03
6.56083e-01   -2.51621e-06   -1.41225e-07   -2.08121e-03
6.64277e-01   -2.50691e-06   -1.68146e-07   -2.06848e-03
6.72139e-01   -2.49736e-06   -1.49501e-07   -2.04753e-03
6.80324e-01   -2.48679e-06   -1.22997e-07   -2.01752e-03
6.88178e-01   -2.47610e-06   -1.35825e-07   -1.98180e-03
